d0b6a65e-bacc-42d8-b0cb-8abee5e99ecc;"1283";"Unterberger, Ignaz";"Jupiter und Hebe"
791b6fa3-4259-42f0-81a0-d3a462bb215b;"1284";"Flämischer Meister um 1600";"Der Gang nach Emmaus"
32b05150-ec71-4e74-b7d4-7057d38ff47b;"1285";"Coninxloo, Gillis van";"Waldlandschaft mit Jägern"
89529685-67d6-4b45-8919-9c7b310909f1;"1286";"Stevens, Pieter";"Landschaft mit dem barmherzigen Samariter"
a7ebec8e-fbfd-4dbc-870c-1c220b4a66c2;"1337";"Romney, George";"Bildnis eines jungen Mannes an seinem Lesetisch"
764a47ba-7b65-4a80-89d7-a50bd72031b8;"1340";"Leibl, Wilhelm";"Älterer Bauer und junges Mädchen; Das ungleiche Paar"
940fbb40-2d4a-4a77-afc3-ebfc5e6dfe5b;"1350";"Sisley, Alfred";"Seine-Ufer im Herbst"
5f4358b1-822c-4141-85b3-f5e1e92c694d;"1351";"Liebermann, Max";"Freistunde im Amsterdamer Waisenhaus"
03eb38f1-6f54-4fc3-abfb-114b89cd50c1;"1354";"Spitzweg, Carl";"Der Einsiedler vor seiner Klause"
336c3c9e-c4ef-4581-8dcb-995f1bd8e18d;"1365";"Pidoll, Karl von";"Bildnis Anna Cossmann vor der Ca' d'Oro in Venedig"
8cf304ed-b78b-4297-94d1-213b8af4608f;"1371";"Chintreuil, Antoine";"Der Regenschauer"
31ec56cc-ae30-4bbf-910b-fdb3a75abc1e;"1374";"Robert, Hubert";"Römische Ruinen"
3aaab092-a267-4283-a883-39fb32692968;"1375";"Meyerheim, Paul";"Die eifersüchtige Löwin"
ed8e504c-c489-48a6-83aa-1f0ca4a48357;"1378";"Aertsen, Pieter";"Marktstück mit Christus und der Ehebrecherin"
6fc7c35d-6aef-4d27-9ee6-3c5a1e5bc24e;"1385";"Monet, Claude";"Häuser am Ufer der Zaan"
cd135117-8f55-4ef1-b303-82d0ef316e4e;"1393";"Waldmüller, Ferdinand Georg";"Bäuerliches Liebespaar"
1d668465-b2e7-40ed-9e74-4172c5808d92;"1395";"Tiepolo, Giovanni Domenico";"Studienkopf eines alten Mannes"
58e09b32-6f48-4c7f-b149-ca4b843c4066;"1400";"Blanche, Jacques-Émile";"Junges Mädchen nach dem Maskenball (La petite masque)"
1926184a-33dc-4746-be9c-b75d7b307c17;"1406";"Courbet, Gustave";"Dorfausgang im Winter"
635025f0-6010-4109-91b7-4e6f5c61ee36;"1415";"Millet, Jean François";"Bildnis Herrn le Courtois, des Schwagers des Künstlers"
73b04eef-1c4b-4e92-bcf7-868f38d177da;"1417";"Palma il Vecchio, Jacopo";"Zwei ruhende Nymphen (Jupiter in Gestalt der Diana und Kallisto?)"
bf4e23e1-7b5c-4c1c-b500-364a6ea911b3;"1426";"Göbel, Angilbert";"Arme Leute"
19432b46-cc17-41aa-8f34-b860c8492beb;"1433";"Courbet, Gustave";"Die Woge"
4907d808-7d8d-494b-aacd-638579a2eece;"1436";"Gogh, Vincent van";"Bauernhaus in Nuenen"
dded1217-ee0f-433e-b981-deb559b6225d;"1444";"Daubigny, Charles François";"Französischer Obstgarten zur Erntezeit (Le verger)"
451097ad-c8a6-4836-9934-b69a9d8b292d;"1447";"Capella gen. Il Daggiù, Francesco";"Verkündigung"
a17c03fd-e6b6-47ae-8ee2-c1419746ae43;"1465";"Roos, Johann Heinrich";"Stillleben mit totem Geflügel"
b8faf1e1-58bb-496e-9323-099d2298a355;"1466";"Delacroix, Eugène";"Fantasia arabe"
a7de574d-8938-4055-925c-33a084c6b5c7;"1476";"Manet, Édouard";"Die Krocketpartie"
b0e88765-f9c6-4661-97a0-8b21f1b12387;"1496";"Parmigianino";"Märtyrerin mit zwei Engelsknaben (Die heilige Katharina von Alexandrien?)"
24a1c241-fb6d-4cc7-9257-a8309c9917f2;"1498";"Corot, Camille";"Blick auf Marino in den Albaner Bergen am frühen Morgen"
c60b53df-6371-4829-adaa-8e7f2662725d;"1499";"Corot, Camille";"Italienische Herbstlandschaft bei Marino"
7d37f52e-8607-4226-b28e-d334830973ca;"1501";"Longhi, Pietro";"Bildnis der Marchesa Concina di Udine"
7924a86b-8cd4-4ce3-8e8e-a50c89bea05d;"1507";"Lanfranco, Giovanni";"Drei Kapuzinerheilige und ein heiliger Bischof beten Christus und das Kreuz an"
6acb290c-44fb-443c-9588-d273c08d4cbe;"1521";"Tintoretto";"Moses schlägt Wasser aus dem Felsen"
4d658fe5-7b40-428b-94e2-1591b3fe2834;"1527";"Crespi gen. Il Cerano, Giovanni Battista";"Taufe Christi"
770ef509-c099-4f15-af34-81496b381141;"1529";"Venezianischer Meister des 18. Jahrhunderts";"Gaukler vor dem Dogenpalast"
7a4ce4b8-be0d-4c9f-9e72-4aea24095c6a;"1542";"Italienischer Meister um 1600/1610";"Der jugendliche Bacchus"
27860c8e-2a6a-4988-a549-beefa52c1954;"1551";"Hackert, Jakob Philipp";"Blick auf Sankt Peter in Rom"
c6fe491b-9b0c-4ca4-b08c-0e45c99395fd;"1553";"Doré, Gustave";"Alpine Landschaft mit Wildbach"
8d563e30-c488-4b16-bca8-35c9806fc95d;"1559";"Segantini, Giovanni";"Alpenlandschaft bei Sonnenuntergang"
3de7e7a2-0c46-47c7-a06d-b99c3de72573;"1577";"Bosch, Hieronymus";"Ecce Homo"
c5025924-a951-437f-ba94-b737c9eb9453;"1583";"Bloemaert, Abraham";"Judith zeigt das Haupt des Holofernes"
96b0b21d-926b-47ed-9d16-8779b8488f81;"1607";"Elsheimer, Adam";"Die Sintflut"
59174f41-bd78-4a87-950e-4267ab359d99;"1614";"Juncker, Justus";"Stillleben mit Apfel und Insekten"
bc5984ba-c3b2-47f6-b4d4-8a640a1ff1e6;"1615";"Juncker, Justus";"Stillleben mit Birne und Insekten"
7d78f7b1-f43c-42bb-adaf-02c037102430;"1626";"Giordano, Luca";"Die Jugend von den Lastern versucht"
6d965c4b-01b0-4630-9a38-bbed611bca01;"1628";"Hoppner, John";"Mädchen mit Kaninchen"
e22a540c-140e-4217-a519-ffd864182f3d;"1629";"Steinle, Edward von";"Der Geiger im Turmfenster"
23c37f6f-7e34-4813-b510-1c71647d00a5;"1644";"Singleton, Henry";"Der Vikar empfängt den Zehnten"
44e97b81-74b6-43a6-b4de-600ed7a29585;"1648";"Hackert, Jakob Philipp";"Die Grotte des heiligen Franziskus auf dem Monte Verna"
09475bd7-359d-4f29-a0e6-d5eea5eda0bd;"1650";"Guigou, Paul";"Landschaft bei Roquevaire in der Provence"
838a805e-bb11-4753-914e-49be9646df6b;"1653";"Guardi, Giacomo";"Der Markusplatz in Venedig"
c44a84d9-1045-4f58-a77d-2cb6111c2ce8;"1676";"Elsheimer, Adam";"Merkur und Battus"
b181177f-840c-428e-8658-fe2df7f1b20b;"1677";"Elsheimer, Adam";"Pan und Syrinx"
89f2a245-bcb4-4516-a571-2deed6e3aaf8;"1680";"Morland, George";"Bauern vor einer Hütte"
8d394d9e-3154-473e-95fc-ff590ea7e811;"1702";"Urlaub, Georg Karl";"Bildnis des Johann Georg von Holzhausen (1771-1846)"
9c326a1b-a4d6-47cb-bdb4-79d2a379e715;"1703";"Urlaub, Georg Karl";"Bildnis der Henriette von Holzhausen (1773-1834)"
9cece431-e13b-4b51-88b4-9505d487d7fb;"1704";"Urlaub, Georg Karl";"Bildnis des Friedrich Adolph Carl von Holzhausen (1776-1811)"
ee5a7bc7-8a7e-4717-92f5-bbfe24296c7e;"1705";"Ziesenis, Johann Georg";"Bildnis des Johann Maximilian von Holzhausen (1708-1768)"
f3f0dfec-d002-483f-8d4b-ad7cb4b56f17;"1706";"Ziesenis, Johann Georg";"Bildnis des Justinian Theodor Friedrich von Holzhausen (1747-1765)"
dde35b83-8560-429a-aab3-ebd38fe6b081;"1716";"Faber von Kreuznach, Conrad";"Bildnis des Gilbrecht von Holzhausen (1514-1550)"
abefa041-5249-4ec4-933f-0b01544f217a;"1717";"Faber von Kreuznach, Conrad";"Bildnis der Anna von Holzhausen, geb. Ratzeburg"
c365e65f-4edc-44ba-9949-e5f7e3d1fdaa;"1723";"Cranach d. Ä., Lucas";"Christus segnet die Kinder"
4735e7fe-b04d-4b85-948d-30beacc63fbb;"1724";"Uffenbach, Philipp";"Maria mit Frauen und Jüngern während der Kreuzigung Christi"
816d916b-6e13-4b70-86df-165a7fa05b07;"1729";"Faber von Kreuznach, Conrad";"Doppelbildnis des Justinian von Holzhausen (1502-1553) und seiner Frau Anna, geb. Fürstenberg (1510-1573)"
1c841098-923c-4be0-95bb-a34ff6e0c270;"1731";"Cranach d. Ä., Lucas";"Madonna auf der Mondsichel verehrt von dem Stifter Hieronymus Rudelauf"
f8c17a8e-3845-4e2e-91c1-4fb4e7b82c44;"1739";"Kaldenbach, Martin";"Bildnis des Jakob Stralenberger"
4cde22db-76b3-4e20-aad6-a3d1d51659ef;"1747";"Ziesenis, Johann Georg";"Bildnis der Marie Sophie Friedericke von Holzhausen (1748-1796)"
e9ae5ec5-6a75-4507-97e2-d93509d2153c;"1779";"Gentile da Fabriano";"Thronende Madonna mit Kind, anbetenden Engeln und Propheten"
5e66c0d3-77a7-4da0-a7eb-778b079febe6;"1789";"Troger, Paul";"Tod Josephs"
3127f2e6-4b06-4d56-8fbe-b82a822d3083;"1792";"Meister des Nürnberger Marienaltars";"Gebet am Ölberg"
